Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
January 1,JMJ Phillip Group College Scholarships,"$1,000","High school, Undergraduate",https://jmjphillip.com/jmj-phillip-stem-scholarship/,,"High school students who have been accepted to college and students who are currently enrolled in a college or university are eligible to apply for the JMJ Phillip Group college scholarship program. 
Students must be currently enrolled in a U.S.-based high school or college. Students graduating from high school must plan to attend college during the fall semester in the same year as the application.
Eligible colleges include two-year and four-year universities in the United States.
Students who apply must have a minimum GPA of 3.6. Current (unofficial) transcripts must be sent with the application."
January 1,Shape the Future Scholarship by Campervan Finder,"$2,500","High school, Undergraduate, Graduate",https://www.campervanfinder.com/scholarship/,,"You must be a student, studying full time.
You must have a passion for Travel and Business.
You must have a minimum 2.0/4.0 cumulative GPA"""
January 4,IAAP Education Foundation Scholarship,"$2,000","High school, Undergraduate, Graduate",https://www.iaap-aggregates.org/education-foundation-scholarship.html,September 1,"Applicants must be enrolled or enrolling at an institution of higher learning (hereafter referred to as college). Students in their final year of high school may apply.
Applicants must have an Illinois connection through personal background, college location, or future career plans.
Applicant must be majoring, or intends to major, in a curriculum which will be compatible with a career in the aggregates industry such as (but not limited to) Trade Programs, Civil Engineering, Engineering Science, Environmental Engineering, Environmental Science, Geology, Geological Engineering, Mineral Science or Mining Engineering."
January 5,NCAA Postgraduate Scholarship program,"$10,000",Undergraduate,https://www.ncaa.org/sports/2013/11/21/ncaa-postgraduate-scholarship-program.aspx,Sptember 16,"Must be in final season of NCAA athletics eligibility or must have completed athletic eligibility,
Must be in final year of undergraduate academic work or received an undergraduate degree.
Have an overall undergraduate minimum cumulative grade-point average of 3.200 (based on a 4.000 scale) or its equivalent, including all undergraduate hours earned at all undergraduate institutions attended
Must enroll in a graduate degree granting program on a part- or full-time basis at an academically accredited graduate or degree-granting professional school."
January 5,GE-Reagan Foundation Scholarship Program,"Up to $40,000",High school,https://www.reaganfoundation.org/education/scholarship-programs/ge-reagan-foundation-scholarship-program/,,"Demonstrate the attributes of leadership, integrity, drive, and citizenship within their communities, schools, and workplaces
Plan to enroll in a full‑time undergraduate course of study at an accredited 4‑year college or university in the U.S. for the entire 2026-2027 academic school year.
Be citizens of the United States of America
Display strong academic performance (minimum 3.0 grade point average/4.0 scale or equivalent)
Be current U.S. high school seniors (including territories & commonwealths) graduating in winter 2025 or spring 2026, including home-schooled students and those on U.S. Armed Forces bases abroad."
January 5,May Firm Injury Scholarship,"$1,000","Undergraduate, Graduate",https://mayfirm.com/scholarship/,,Open to students at any accredited community college or university across the country
January 6,Abacus Life Scholarship,"$1,000","Undergraduate, Graduate",https://abacuslifesettlements.com/abacus-scholarship/,,Applicant must be a full-time or part-time student of all majors at an accredited 4-year college or university in the United States
January 6,Taco Bell Live Más Scholarship,"$25,000","High school, Undergraduate",https://www.tacobellfoundation.org/live-mas-scholarship/,November 1,"Legal resident of the 50 United States and the District of Columbia (“D.C.”) located within the United States or D.C., or the dependent child of an active-duty member of the U.S. military,
Between 16 and 26 years of age;
On track to apply for (pending receipt of a high school diploma or G.E.D. equivalent) or currently enrolled in an accredited post-high school/post-secondary program (two‑year, four‑year, vocational‑technical, or trade); "
January 7,Conflict Conquerer Scholarship,"$1,000",High school,https://www.bihmfirm.com/scholarship,,"Be enrolled in an accredited college or university within the United States
Be an incoming freshman for the Fall 2026 semester
Have achieved a 3.5 grade point average or higher
Be a citizen or permanent resident of one of the 50 United States
Be at least 17 years of age"
January 7,Jackie Robinson Foundation,Varies,High school,https://jackierobinson.org/apply/,September,"Be a graduating high school senior;
Be a United States citizen;
Present evidence of financial need;
Demonstrate a record of academic excellence;
Demonstrate leadership potential and a dedication to community service;
Plan to attend an accredited and JRF approved 4-year college/university within the United States or affiliated with a United States based college or university;
Have not accrued more than 25% of credits needed to graduate from college."
